"Skolaar","Parent Account Name","Account Name","Integration","Active Classes","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Submissions with Feedback","Submissions Scored with a Rubric","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created","Skolastig"
"2019-2020","Háskóli Íslands","Heilbrigðisvísindasvið","Native",364,22,2547,4321,69,3084,1057,62,30,267,3,1777,15,0,127,614,880,127,14,0,0,"Háskólar"
"2013-2014","Hólabrekkuskóli","Hólabrekkuskóli","Native",2,1,3,3,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,""
"2011-2012","Háskóli Íslands","Hugvísindasvið","Native",8,1,22,22,0,13,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2012-2013","Háskóli Íslands","Hugvísindasvið","Native",29,15,124,124,13,98,12,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Hugvísindasvið","Native",39,16,257,257,24,195,22,5,2,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Hugvísindasvið","Native",41,23,605,605,85,470,14,7,19,19,0,186,0,0,1,185,0,0,0,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Hugvísindasvið","Native",72,18,374,353,18,299,17,1,7,72,1,414,58,0,154,192,10,0,0,0,0,"Háskólar"
"2016-2017","Háskóli Íslands","Hugvísindasvið","Native",67,24,230,341,8,289,26,9,6,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2017-2018","Háskóli Íslands","Hugvísindasvið","Native",39,28,348,415,22,339,47,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Háskóli Íslands","Hugvísindasvið","Native",43,23,408,474,33,381,41,4,5,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2019-2020","Háskóli Íslands","Hugvísindasvið","Native",39,24,266,339,28,242,41,9,15,8,2,766,5,0,26,98,0,637,0,0,0,"Háskólar"
"2012-2013","Háskólinn í Reykjavík","Íþróttafræði","Native",20,3,67,67,5,56,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskólinn í Reykjavík","Íþróttafræði","Native",13,5,95,95,1,85,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2014-2015","Háskólinn í Reykjavík","Íþróttafræði","Native",18,8,132,132,0,123,5,0,2,2,0,5,0,0,5,0,0,0,0,0,0,"Háskólar"
"2015-2016","Háskólinn í Reykjavík","Íþróttafræði","Native",32,12,324,324,15,284,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2016-2017","Háskólinn í Reykjavík","Íþróttafræði","Native",31,13,219,323,12,276,10,3,20,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2017-2018","Háskólinn í Reykjavík","Íþróttafræði","Native",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Háskólinn í Reykjavík","Íþróttafræði","Native",1,1,6,12,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2017-2018","Keilir - Center of Excellence","Keilir - Center of Excellence","Native",9,2,149,149,2,127,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,""
"2011-2012","Háskóli Íslands","Kennslumálanefnd","Native",4,1,9,9,2,1,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Kennslumálanefnd","Native",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2016-2017","Háskóli Íslands","Kennslumálanefnd","Native",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2012-2013","Háskóli Íslands","Kennslumiðstöð","Native",2,1,5,5,0,2,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Kennslumiðstöð","Native",12,10,43,35,0,17,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Kennslumiðstöð","Native",13,7,22,27,4,14,3,1,2,2,0,4,0,1,1,1,1,0,0,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Kennslumiðstöð","Native",5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2016-2017","Háskóli Íslands","Kennslumiðstöð","Native",3,2,5,10,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2012-2013","Háskóli Íslands","Kennslusvið","Native",2,2,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Kennslusvið","Native",2,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2017-2018","Háskóli Íslands","Kennslusvið","Native",2,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík","Native",18,1,12,12,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík","Native",10,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2012-2013","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands","Native",4,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2011-2012","Landsbókasafn Íslands - Háskólabókasafn","Landsbókasafn Íslands - Háskólabókasafn","Native",7,3,8,8,2,1,0,1,3,3,0,7,0,0,1,6,0,0,0,0,0,"Háskólar"
"2017-2018","Landsbókasafn Íslands - Háskólabókasafn","Landsbókasafn Íslands - Háskólabókasafn","Native",2,1,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Listaháskóli Íslands","Listaháskóli Íslands","Native",15,8,54,54,4,43,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2014-2015","Listaháskóli Íslands","Listaháskóli Íslands","Native",18,9,80,79,0,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2015-2016","Listaháskóli Íslands","Listaháskóli Íslands","Native",29,13,73,61,0,56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2016-2017","Listaháskóli Íslands","Listaháskóli Íslands","Native",19,14,173,199,3,161,4,5,21,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2017-2018","Listaháskóli Íslands","Listaháskóli Íslands","Native",9,7,120,135,2,128,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Listaháskóli Íslands","Listaháskóli Íslands","Native",23,12,129,180,1,159,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Listaháskóli Íslands","Listaháskóli Íslands","Native",14,6,117,184,0,163,14,1,6,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2014-2015","Háskólinn í Reykjavík","Lögfræði","Native",6,4,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2015-2016","Háskólinn í Reykjavík","Lögfræði","Native",5,3,50,50,0,45,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2016-2017","Háskólinn í Reykjavík","Lögfræði","Native",9,6,186,211,0,172,36,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2017-2018","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Native",3,2,27,27,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Native",23,4,10,10,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Native",15,3,21,21,2,7,6,2,2,3,0,3,3,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2014-2015","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Native",1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Native",5,0,52,52,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Native",48,44,382,382,15,119,95,66,60,6,0,15,0,0,5,6,3,0,1,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík","Native",11,4,30,37,16,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík","Native",69,6,26,26,9,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","Native",5,0,5,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","Native",25,3,9,9,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","Native",119,13,26,27,0,24,2,1,0,2,0,98,2,0,0,0,0,96,0,0,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn við Sund","Menntaskólinn við Sund","Native",29,4,284,285,58,161,32,13,12,11,0,51,7,0,0,44,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn við Sund","Menntaskólinn við Sund","Native",96,7,82,91,2,64,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn við Sund","Menntaskólinn við Sund","Native",73,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2011-2012","Háskóli Íslands","Menntavísindasvið","Native",16,5,39,38,2,22,3,0,4,2,0,17,0,0,9,6,1,0,1,0,0,"Háskólar"
"2012-2013","Háskóli Íslands","Menntavísindasvið","Native",60,20,167,166,6,115,26,6,7,6,0,18,0,0,14,4,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Menntavísindasvið","Native",77,25,554,550,6,411,93,14,15,13,0,36,0,0,7,10,19,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Menntavísindasvið","Native",135,51,617,615,16,521,47,10,6,41,0,400,36,0,72,292,0,0,0,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Menntavísindasvið","Native",132,36,559,516,17,420,49,8,7,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2016-2017","Háskóli Íslands","Menntavísindasvið","Native",70,28,296,440,5,311,76,8,31,56,0,202,0,0,0,202,0,0,0,0,0,"Háskólar"
"2017-2018","Háskóli Íslands","Menntavísindasvið","Native",41,26,439,632,4,482,103,15,17,37,0,355,0,0,0,3,0,0,0,352,0,"Háskólar"
"2018-2019","Háskóli Íslands","Menntavísindasvið","Native",25,18,221,336,5,280,41,7,2,1,0,5,0,0,0,0,0,0,0,5,0,"Háskólar"
"2019-2020","Háskóli Íslands","Menntavísindasvið","Native",7,4,13,13,0,12,0,0,0,1,0,4,0,0,2,2,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Rannsóknasetur HÍ","Native",2,1,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Rannsóknasetur HÍ","Native",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Reiknistofnun","Native",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2012-2013","Háskólinn í Reykjavík","Sálfræði","Native",4,0,102,102,0,56,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskólinn í Reykjavík","Sálfræði","Native",8,0,230,208,1,143,56,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2014-2015","Háskólinn í Reykjavík","Sálfræði","Native",12,0,294,294,7,166,112,3,6,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2015-2016","Háskólinn í Reykjavík","Sálfræði","Native",50,21,1016,1012,38,614,256,55,20,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2016-2017","Háskólinn í Reykjavík","Sálfræði","Native",25,20,796,1105,26,648,370,47,8,143,72,3688,1,47,2694,78,0,92,81,695,0,"Háskólar"
"2017-2018","Háskólinn í Reykjavík","Sálfræði","Native",3,2,9,9,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Háskólinn í Reykjavík","Sálfræði","Native",2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Háskólinn í Reykjavík","Sálfræði","Native",4,3,29,55,2,43,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Sérsafn","Native",1,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Sérsafn","Native",2,2,9,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Sérsafn","Native",2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2012-2013","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",1,1,13,13,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",12,8,156,156,8,119,19,8,0,3,0,18,0,0,14,2,2,0,0,0,0,"Háskólar"
"2014-2015","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",16,8,140,140,4,87,20,12,14,69,0,1097,0,0,20,1036,41,0,0,0,101,"Háskólar"
"2015-2016","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",8,5,85,85,21,56,6,2,0,64,0,1034,0,0,32,1001,1,0,0,0,88,"Háskólar"
"2016-2017","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",7,6,87,89,5,55,15,5,7,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2017-2018","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",6,3,38,38,0,24,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",3,3,33,33,0,14,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Native",2,2,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Tækniskólinn","Tækniskólinn","Native",6,2,3,6,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Tækniskólinn","Tækniskólinn","Native",5,4,11,14,4,8,1,0,1,2,0,111,2,0,0,0,0,109,0,0,0,"Framhaldsskólar"
"2014-2015","Háskóli Íslands","Þverfræðilegt framhaldsnám","Native",4,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Þverfræðilegt framhaldsnám","Native",7,4,7,7,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2016-2017","Háskóli Íslands","Þverfræðilegt framhaldsnám","Native",13,12,133,135,6,92,27,4,4,2,0,23,0,0,23,0,0,0,0,0,0,"Háskólar"
"2017-2018","Háskóli Íslands","Þverfræðilegt framhaldsnám","Native",14,13,118,123,13,88,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Háskóli Íslands","Þverfræðilegt framhaldsnám","Native",25,16,112,108,3,73,24,5,3,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Háskóli Íslands","Þverfræðilegt framhaldsnám","Native",13,10,124,118,2,83,25,1,7,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2012-2013","Háskólinn í Reykjavík","Tölvunarfræðideild","Native",3,2,87,87,0,71,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskólinn í Reykjavík","Tölvunarfræðideild","Native",4,4,55,55,1,47,7,0,0,1,0,4,0,0,0,4,0,0,0,0,0,"Háskólar"
"2014-2015","Háskólinn í Reykjavík","Tölvunarfræðideild","Native",4,3,139,139,2,117,17,2,1,85,82,247,81,0,92,70,4,0,0,0,0,"Háskólar"
"2015-2016","Háskólinn í Reykjavík","Tölvunarfræðideild","Native",5,5,686,686,60,412,192,20,0,717,609,1815,86,0,77,1645,7,0,0,0,237,"Háskólar"
"2016-2017","Háskólinn í Reykjavík","Tölvunarfræðideild","Native",7,5,408,459,21,339,79,20,0,296,277,786,38,0,134,614,0,0,0,0,66,"Háskólar"
"2018-2019","University Centre of the Westfjords","University Centre of the Westfjords","Native",20,8,153,262,2,200,51,4,5,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","University Centre of the Westfjords","University Centre of the Westfjords","Native",7,3,45,51,0,38,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2011-2012","Háskóli Íslands","Verkefnisstjórn Uglu","Native",1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2011-2012","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",4,3,54,53,0,28,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2012-2013","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",12,6,35,35,1,9,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",28,13,154,152,6,98,25,8,5,14,12,252,5,0,38,209,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",47,22,224,224,7,178,26,9,3,13,6,190,6,0,51,78,25,0,30,0,0,"Háskólar"
"2015-2016","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",41,22,409,408,41,307,35,15,5,18,5,187,11,0,16,122,38,0,0,0,0,"Háskólar"
"2016-2017","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",75,20,513,523,24,380,92,17,9,20,1,371,13,0,16,342,0,0,0,0,0,"Háskólar"
"2017-2018","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",129,34,425,558,11,453,73,16,2,2,0,74,0,0,0,62,0,0,12,0,0,"Háskólar"
"2018-2019","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",103,24,448,452,13,380,43,12,4,17,8,17,16,0,0,1,0,0,0,0,0,"Háskólar"
"2019-2020","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Native",107,39,319,321,5,227,68,14,4,14,0,890,13,0,0,1,0,876,0,0,0,"Háskólar"
"2017-2018","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Native",10,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Native",16,4,327,327,47,149,28,13,6,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2012-2013","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Native",13,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2016-2017","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Native",36,5,89,89,49,21,1,0,2,1,0,4,0,0,3,1,0,0,0,0,0,"Framhaldsskólar"
"2017-2018","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Native",95,16,541,541,366,155,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Native",40,3,51,50,34,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2012-2013","Háskólinn í Reykjavík","Viðskiptadeild","Native",17,11,92,91,6,55,22,3,4,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskólinn í Reykjavík","Viðskiptadeild","Native",30,19,224,221,10,156,39,5,4,5,0,12,0,0,4,3,0,0,0,5,0,"Háskólar"
"2014-2015","Háskólinn í Reykjavík","Viðskiptadeild","Native",35,22,355,353,47,206,71,12,12,5,0,15,0,0,3,2,0,0,0,10,0,"Háskólar"
"2015-2016","Háskólinn í Reykjavík","Viðskiptadeild","Native",57,37,824,799,181,446,101,21,12,3,0,6,0,0,5,1,0,0,0,0,0,"Háskólar"
"2016-2017","Háskólinn í Reykjavík","Viðskiptadeild","Native",62,39,784,957,83,716,121,25,12,2,0,3,0,0,2,1,0,0,0,0,0,"Háskólar"
"2017-2018","Háskólinn í Reykjavík","Viðskiptadeild","Native",21,15,63,77,1,42,22,4,5,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2018-2019","Háskólinn í Reykjavík","Viðskiptadeild","Native",14,12,71,92,24,31,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Háskólinn í Reykjavík","Viðskiptadeild","Native",4,4,11,12,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Vísinda- og nýsköpunarsvið","Native",1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
